Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification Code,Firm,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,J,A,S,O,N,D,J,F,M,A,M,J
,Market E,Plant D,Category C,FB.51089,02,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant D,Category C,FB.51090,01,,0,22.5,22.5,22.5,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Market E,Plant D,Category C,FB.51762,01,61.739,60,61.5,61.5,61.5,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03,Market F,Plant E,Category D,A.01988,02,,,,,,,,,,14.497,14.497,33.851,14.497,14.497,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,9450,9450,9193.5,9396,9461,8961.300000000001,8985.596,8928.188,8125.998900000001,10628,10531,12000,10832.187,221.746,2282.453,143.881,743.574,2297.345,551.93,324.935,455.209,2222.827,522.156,930.194,135.937
2019-07,Market F,Plant E,Category D,A.02453,02,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,0,0,,0,3840,3839,3762.1457499999997,3611,2320.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category D,A.02453,02,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
2019-07,Market F,Plant E,Category F,A.02460,03,183.4956,181.7046,189,189,188.8497,188.8497,150.3,150.3,151.18720000000002,190,135.75,135.75,156.368,0.104,0,0,0,0,0,14.969,-0.173,15.991,38.619,88.457,-1.599
2019-07,Market F,Plant E,Category D,A.02744,01,270,258.6312,277.8552,278.1,278.275,274.9,281,246,246.273,322,349.9,418.28313466,348.678,8.244,10.527,12.887,4.947,156.495,2.072,0.344,6.692,80.116,66.962,0,-0.608
2019-08,Market F,Plant E,Category F,A.02971,03,,0,12.597000000000001,12.597000000000001,15.637,14.068,14.05,16.014,16.958,15,16.914,16.914,16.914,6.276,-1.874,9.666,0,2.846,0,0,0,0,0,0,0
2019-07,Market F,Plant E,Category F,A.03053,04,296.5815,300.91875000000005,210,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
