,,,,,,,,,,,,,,,,,,,, Monthly Spending ,,,,,,,,,,,,, -   , -   , -   ,,
Last Seen Month,Region,Site,Business Category,Project No.,Capital Classification, Firm , Jul , Aug , Sep , Oct , Nov , Dec , Jan , Feb , Mar , Apr , May , Jun ,, J , A , S , O , N , D , J , F , M , A , M , J ,,,,,,
,Market E,Plant B,Category A,FB.61070,04, 150 , 150 , 150 , 150 , 150 , 150 , 150 , 100 , 100 , 50 , 20 , 20 , 20 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 ,,,,,,
,Market E,Plant A,Category F,FB.84900,04,, 128 , 128 , 128 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.56295,01, 350 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,A.04151,01, 446 , 444 , 396 , 444 , 442 , 444 , 218 , 255 , 255 , 249 , 271 , 319 , 319 ,, 61 , 20 , 57 , 25 , 29 , 38 , 7 , -   , 33 , 5 , 44 , -   ,,,,,,
,Market E,Plant B,Category F,FB.61069,04, 120 , 120 , 120 , 120 , 120 , 120 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58400,04, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,A.04107,04, 508 , 654 , 705 , 662 , 662 , 661 , 537 , 537 , 537 , 585 , 542 , 536 , 536 ,, 44 , 80 , 89 , 24 , 50 , 56 , 4 , 61 , 9 , -   , 30 , 90 ,,,,,,
,Market E,Plant B,Category A,FB.58400,04, 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58400,04, 20 , 20 , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.58400,04, 15 , 15 , 15 , 15 , 15 , 15 , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.84893,04,, 113 , 113 , 113 , 175 , 263 , 263 , 175 , 70 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.84892,04,, 108 , 108 , 108 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category C,FB.51078,01, 100 , 100 , 100 , 100 , 100 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category A,FB.54066,01, 100 , 100 , 100 , 50 , 50 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.60737,03, 100 , 100 , 90 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.61070,03, 100 , 100 , 100 , 100 , 100 , 100 , 100 , -   , 50 , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant B,Category F,FB.61069,04, 40 , 40 , 40 , 40 , 40 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,FB.84879,01, 100 , 100 , 100 , 100 , 100 , 100 , 100 , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category C,B.07558,01, 331 , 299 , 299 , 299 , 299 , 299 , 299 , 149 , 149 , 67 , 174 , 205 , (111),, (42), 42 ,,, (141),,,,, (42), 72 ,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 242 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 679 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 225 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 464 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
,Market E,Plant A,Category F,FB.72630,04, 247 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,
